Rank, City, State, PopIn2015, Latitude, Longitude
140, Garden Grove, California, 175393, 33.7788, -117.9605
141, Rancho Cucamonga, California, 175236, 34.1233, -117.5642
142, Cape Coral, Florida, 175229, 26.6431, -81.9973
143, Santa Rosa, California, 174972, 38.4468, -122.7061
144, Vancouver, Washington, 172860, 45.6372, -122.5965
145, Sioux Falls, South, 171544, 43.5383, -96.7320
146, Peoria, Arizona, 171237, 33.7877, -112.3111
147, Ontario, California, 171214, 34.0395, -117.6088
148, Jackson, Mississippi, 170674, 32.3158, -90.2128
149, Elk Grove, California, 166913, 38.4144, -121.3849
150, Springfield, Missouri, 166810, 37.1942, -93.2913
151, Pembroke Pines, Florida, 166611, 26.0212, -80.3404
152, Salem, Oregon, 164549, 44.9237, -123.0231
153, Corona, California, 164226, 33.8624, -117.5639
154, Eugene, Oregon, 163460, 44.0567, -123.1162
155, McKinney, Texas, 162898, 33.2012, -96.6680
156, Fort Collins, Colorado, 161175, 40.5482, -105.0648
157, Lancaster, California, 161103, 34.6936, -118.1753
158, Cary, North, 159769, 35.7821, -78.8141
159, Palmdale, California, 158351, 34.5913, -118.1090
160, Hayward, California, 158289, 37.6281, -122.1063
161, Salinas, California, 157380, 36.6902, -121.6337
162, Frisco, Texas, 154407, 33.1510, -96.8193
163, Springfield, Massachusetts, 154341, 42.1155, -72.5400
164, Pasadena, Texas, 153784, 29.6583, -95.1505
165, Macon, Georgia, 153515, 32.505, -83.396
166, Alexandria, Virginia, 153511, 38.8183, -77.0820
167, Pomona, California, 153266, 34.0586, -117.7613
168, Lakewood, Colorado, 152597, 39.6989, -105.1176
169, Sunnyvale, California, 151754, 37.3858, -122.0263
170, Escondido, California, 151451, 33.1336, -117.0732
171, Kansas City, Kansas, 151306, 39.1225, -94.7418
172, Hollywood, Florida, 149728, 26.0311, -80.1646
173, Clarksville, Tennessee, 149176, 36.5664, -87.3452
174, Torrance, California, 148475, 33.8350, -118.3414
175, Rockford, Illinois, 148278, 42.2634, -89.0628
176, Joliet, Illinois, 147861, 41.5181, -88.1584
177, Paterson, New, 147754, 40.9147, -74.1628
178, Bridgeport, Connecticut, 147629, 41.1874, -73.1957
179, Naperville, Illinois, 147100, 41.7492, -88.1620
180, Savannah, Georgia, 145674, 32.0025, -81.1536
181, Mesquite, Texas, 144788, 32.7639, -96.5924
182, Syracuse, New, 144142, 43.0410, -76.1436
183, Pasadena, California, 142250, 34.1606, -118.1396
184, Orange, California, 140992, 33.8048, -117.8249
185, Fullerton, California, 140847, 33.8857, -117.9280
186, Killeen, Texas, 140806, 31.0777, -97.7320
187, Dayton, Ohio, 140599, 39.7774, -84.1996
188, McAllen, Texas, 140269, 26.2185, -98.2461
189, Bellevue, Washington, 139820, 47.5978, -122.1565
190, Miramar, Florida, 137132, 25.9770, -80.3358
191, Hampton, Virginia, 136454, 37.0480, -76.2971
192, West Valley City, Utah, 136208, 40.6885, -112.0118
193, Warren, Michigan, 135358, 42.4929, -83.0250
194, Olathe, Kansas, 134305, 38.8843, -94.8188
195, Columbia, South, 133803, 34.0298, -80.8966
196, Thornton, Colorado, 133451, 39.9180, -104.9454
197, Carrollton, Texas, 133168, 32.9884, -96.8998
198, Midland, Texas, 132950, 32.0299, -102.1097
199, Charleston, South, 132609, 32.8179, -79.9589
200, Waco, Texas, 132356, 31.5601, -97.1860
201, Sterling Heights, Michigan, 132052, 42.5812, -83.0303
202, Denton, Texas, 131044, 33.2151, -97.1417
203, Cedar Rapids, Iowa, 130405, 41.9670, -91.6778
204, New Haven, Connecticut, 130322, 41.3108, -72.9250
205, Roseville, California, 130269, 38.7657, -121.3032
206, Gainesville, Florida, 130128, 29.6788, -82.3459
207, Visalia, California, 130104, 36.3272, -119.3234
208, Coral Springs, Florida, 129485, 26.2708, -80.2593
209, Thousand Oaks, California, 129339, 34.1933, -118.8742
210, Elizabeth, New, 129007, 40.6663, -74.1935
211, Stamford, Connecticut, 128874, 41.0799, -73.5460
212, Concord, California, 128667, 37.9722, -122.0016
213, Surprise, Arizona, 128422, 33.6706, -112.4527
214, Lafayette, Louisiana, 127657, 30.2116, -92.0314
215, Topeka, Kansas, 127265, 39.0362, -95.6948
216, Kent, Washington, 126952, 47.3853, -122.2169
217, Simi Valley, California, 126788, 34.2669, -118.7485
218, Santa Clara, California, 126215, 37.3646, -121.9679
219, Murfreesboro, Tennessee, 126118, 35.8522, -86.4161
220, Hartford, Connecticut, 124006, 41.7660, -72.6833
221, Athens, Georgia, 122604, 33.9496, -83.3701
222, Victorville, California, 122225, 34.5277, -117.3536
223, Abilene, Texas, 121721, 32.4545, -99.7381
224, Vallejo, California, 121253, 38.1079, -122.2639
225, Berkeley, California, 120972, 37.8667, -122.2991
226, Norman, Oklahoma, 120284, 35.22, -97.44
227, Allentown, Pennsylvania, 120207, 40.5940, -75.4782
228, Evansville, Indiana, 119943, 37.9877, -87.5347
229, Columbia, Missouri, 119108, 38.9479, -92.3261
230, Odessa, Texas, 118968, 31.8804, -102.3434
231, Fargo, North, 118523, 46.8652, -96.8290
232, Beaumont, Texas, 118129, 30.0843, -94.1458
233, Independence, Missouri, 117255, 39.0853, -94.3513
234, Ann Arbor, Michigan, 117070, 42.2756, -83.7313
235, El Monte, California, 116732, 34.0746, -118.0291
236, Springfield, Illinois, 116565, 39.7639, -89.6708
237, Round Rock, Texas, 115997, 30.5237, -97.6674
238, Wilmington, North, 115933, 34.2092, -77.8858
239, Arvada, Colorado, 115368, 39.8097, -105.1066
240, Provo, Utah, 115264, 40.2453, -111.6448
241, Peoria, Illinois, 115070, 40.7523, -89.6171
242, Lansing, Michigan, 115056, 42.7098, -84.5562
243, Downey, California, 114219, 33.9382, -118.1309
244, Carlsbad, California, 113453, 33.1239, -117.2828
245, Costa Mesa, California, 113204, 33.6659, -117.9123
246, Miami Gardens, Florida, 113187, 25.9489, -80.2436
247, Westminster, Colorado, 113130, 39.8822, -105.0644
248, Clearwater, Florida, 113003, 27.9795, -82.7663
249, Fairfield, California, 112970, 38.2568, -122.0397
250, Rochester, Minnesota, 112225, 44.0154, -92.4772
251, Elgin, Illinois, 112111, 42.0396, -88.3217
252, Temecula, California, 112011, 33.5019, -117.1246
253, West Jordan, Utah, 111946, 40.6023, -112.0010
254, Inglewood, California, 111666, 33.9561, -118.3443
255, Richardson, Texas, 110815, 32.9723, -96.7081
256, Lowell, Massachusetts, 110699, 42.6389, -71.3221
257, Gresham, Oregon, 110553, 45.5023, -122.4416
258, Antioch, California, 110542, 37.9775, -121.7976
259, Cambridge, Massachusetts, 110402, 42.3760, -71.1183
260, High Point, North, 110268, 35.9855, -79.9902
261, Billings, Montana, 110263, 45.7895, -108.5499
262, Manchester, New, 110229, 42.9847, -71.4439
263, Murrieta, California, 109830, 33.5719, -117.1907
264, Centennial, Colorado, 109741, 39.5906, -104.8691
267, Pueblo, Colorado, 109412, 38.2731, -104.6124
268, Pearland, Texas, 108821, 29.5544, -95.2958
269, Waterbury, Connecticut, 108802, 41.5585, -73.0367
270, West Covina, California, 108484, 34.0559, -117.9099
271, North Charleston, South, 108304, 32.8853, -80.0169
272, Everett, Washington, 108010, 48.0033, -122.1742
273, College Station, Texas, 107889, 30.6013, -96.3144
274, Palm Bay, Florida, 107888, 27.9856, -80.6626
275, Pompano Beach, Florida, 107762, 26.2426, -80.1290
276, Boulder, Colorado, 107349, 40.0175, -105.2797
277, Norwalk, California, 107140, 33.9069, -118.0834
278, West Palm Beach, Florida, 106779, 26.7483, -80.1266
279, Broken Arrow, Oklahoma, 106563, 36.0365, -95.7810
280, Daly City, California, 106562, 37.7009, -122.4650
281, Sandy Springs, Georgia, 105330, 33.5615, -84.227
282, Burbank, California, 105319, 34.1890, -118.3249
283, Green Bay, Wisconsin, 105207, 44.5207, -87.9842
284, Santa Maria, California, 105093, 34.9332, -120.4438
285, Wichita Falls, Texas, 104710, 33.9067, -98.5259
286, Lakeland, Florida, 104401, 28.0411, -81.9589
287, Clovis, California, 104180, 36.4931, -119.4211
288, Lewisville, Texas, 104039, 33.0383, -97.0061
289, Tyler, Texas, 103700, 32.35, -95.30
290, El Cajon, California, 103679, 32.8017, -116.9605
291, San Mateo, California, 103536, 37.5542, -122.3131
292, Rialto, California, 103132, 34.1118, -117.3883
293, Edison, New, 102701, 40.5040, -74.3494
294, Davenport, Iowa, 102582, 41.5541, -90.6040
295, Hillsboro, Oregon, 102347, 45.5167, -122.9833
296, Woodbridge, New, 102105, 40.5608, -74.2926
297, Las Cruces, New, 101643, 32.3197, -106.7653
298, South Bend, Indiana, 101516, 41.6769, -86.2690
299, Vista, California, 100890, 33.1936, -117.2411
300, Greeley, Colorado, 100883, 40.4167, -104.7167
301, Davie, Florida, 100882, 26.0814, -80.2803
302, San Angelo, Texas, 100450, 31.45, -100.45
303, Jurupa Valley, California, 100314, 33.0011, -117.4706
304, Renton, Washington, 100242, 47.4867, -122.1953
